gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_p75,Q_p25,daylength_median,daylength_p75,solar_p75
403031283323030_,2.601144023,1356.7,4,64,114,117,1236,123,0,68,9,400.77,3159,901,6.6,20.6,7.031222105,12.64194444,14.01645833,18.25
403041283309010_,0.855987375,2533,5,11,99,128,1414,142,0,49,7,1797.594,4466,901,5.6,22.7,23.01680946,12.15611111,13.86694444,18.67
403051283310040_,1.579238784,715.4,4,112,202,103,1589,170,0,88,6,483.176,1264,936,6.7,20.8,8.476384163,12.46777778,13.97472222,19.06
403051283310050_,2.821571031,761.6,4,82,191,106,1583,168,0,83,5,756.658,1626,936,7.2,21.1,9.159784079,12.12569444,13.80861111,18.625
403051283310100_,0.65,1206,4,23,135,120,1549,160,0,59,5,3094.326,4607,926,4.6,25.8,14.93949509,14.48194444,14.53861111,23.43
403051283310180_,0.746381739,156.3,3,101,81,136,1511,147,0,50,9,3435.776,5858,936,6.7,21.1,1.454030067,12.12083333,13.84340278,18.32
403061283310030_,1.248736985,253.8,3,6,23,151,1494,148,0,3,0,8263.519,11404,903,2.4,24.025,3.200655699,12.23472222,13.81305556,18.64
403071283310010_,1.53170904,1657.4,4,10,143,112,1677,176,0,73,10,893.122,1928,903,6.7,23,21.16367435,12.18805556,13.89986111,18.5425
403081283324004_,2.912318779,2179.5,5,322,146,95,1579,176,0,74,10,277.899,390,902,7.3,21,21.02941942,12.12069444,13.72583333,17.93
403081283324009_,2.72498864,955.3,4,267,142,99,1571,172,0,74,7,413.161,399,902,7.4,20.6,7.779923439,12.28305556,13.83666667,17.97
404021284402300_,2.82124183,7473.6,6,2,154,91,1709,201,1,76,11,67.795,432,899,9,17.9,207.3520775,12.14916667,13.88770833,17.09
404021284415300_,2.61838596,958,4,181,154,86,1636,194,0,92,4,66.956,494,895,8.3,18.7,17.47698784,12.15805556,13.89951389,17.3875
