file_name,latitude,longitude
3988,34.652664,110.906022
4016,33.874388,115.484812
3306,33.503413,114.574433
3336,33.894563,114.636783
3340,33.823184,114.243256
3332,33.203367,115.151458
3305,33.3876268,115.0716483
2462,33.8792895,115.4910372
2461,33.68667,114.16434
2124,33.626572,114.680083
3337,33.404611,113.899043
3316,32.7135129,115.0622929
6409,32.6538,115.1453
3315,32.780629,114.868435
3320,32.977274,113.588091
3321,32.895127,114.406066
3335,32.635434,113.938979
4193,51.7241727,126.666699
4176,45.951499,126.658647
4194,45.9775337,133.6693792
3773,48.874699,125.288803
4187,45.4936489,125.0451846
3768,50.420486,124.128555
6210,53.4837,122.3591
4177,51.763712,126.639504
2584,53.480873,122.3556112
3771,51.666357,126.620243
2118,45.787555,126.752056
2583,46.003555,126.646118
6374,45.9469,126.6457
2127,45.90503,126.504213
6373,44.3966,127.692
3779,47.096761,122.896086
4186,46.3054261,129.5434746
4180,45.901258,128.158834
2146,46.934667,133.853376
3778,45.726806,126.523186
2582,47.684003,131.062156
3785,50.249585,127.499023
4192,50.2386399,127.5357671
6376,50.0933,127.5196
3775,48.525048,127.086814
4190,45.5358451,131.9635795
2122,45.326365,130.973375
6208,45.5313,131.9585
2121,45.552395,133.281365
2585,45.979708,133.676903
4184,45.316643,132.585736
6339,45.2537,132.0127
4189,45.26617,132.033759
6340,45.0598,132.8526
4178,48.3653288,134.2871925
6375,46.5751,129.834
4174,46.8321887,130.3590471
3767,46.809606,130.361634
4173,46.809606,130.361634
2581,47.6425983,132.4690226
3780,48.442197,129.574798
2580,48.258915,134.6728087
3782,44.556533,129.647051
3783,45.74691,126.680971
3766,44.780159,129.522687
4182,45.401432,126.299118
3781,47.913029,123.500856
3765,44.266976,128.639537
3774,47.314285,126.848283
4183,46.771624,123.684912
3777,45.877356,124.469417
4185,47.364485,123.915962
4181,48.422633,124.301919
4188,47.949987,123.40733
4179,46.567284,132.633838
3784,46.924027,133.353365
3776,47.861712,125.457141
3786,48.8890811,130.3980333
3772,48.885439,130.392465
6209,48.7083,130.5703
3770,49.372476,127.928958
3769,47.84086,128.83562
4070,30.2703196,114.5999666
3452,30.254048,114.571771
6416,30.2689,114.5716
3468,30.340783,115.090053
3456,32.609233,111.476807
2195,30.246073,109.493289
3421,30.321016,108.973817
3433,30.207272,108.575117
2528,29.203638,109.225576
3425,30.234653,110.780916
2157,30.471859,114.422632
4072,29.862706,114.19535
4043,30.929551,110.443618
4050,31.01612,110.35554
2521,30.425803,115.027978
6419,30.6003,115.4457
3466,32.275998,110.140305
4041,31.537412,114.68585
3492,31.121516,115.346493
3486,30.56645,115.606361
2529,30.262804,115.423717
2519,30.359787,115.159707
4036,30.546498,114.341861
3423,29.838404,115.478264
4047,29.861698,115.437402
3436,30.607998,114.739996
4059,31.199489,112.581188
3475,30.684134,112.601291
4069,31.45536,112.424951
4040,30.891566,113.312214
3465,31.015929,112.026092
2106,30.388179,114.352698
3455,30.205647,113.846046
2523,30.1823,112.866681
6418,29.8817,113.3812
4053,29.810176,113.462786
4054,30.480375,114.411567
3445,29.6665,113.329487
6193,29.821683,113.463833
4066,29.972589,111.939649
2169,30.677431,111.799442
2524,31.664417,112.184187
2525,30.164666,113.892022
2132,29.777166,112.014545
3463,29.804503,112.133505
