file_name,total_hours,hypoxia_hours,hypoxia_fraction,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
2110,4710,0,0,41.274287,126.145747,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2112,3864,0,0,31.264172,105.07645,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2115,4080,0,0,36.069564,110.444343,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2117,300,0,0,33.278916,106.138647,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2119,4074,0,0,30.700479,117.229669,3,Urban,5,Other,0,0,1,0,0,0,FALSE,Mixed
2120,3714,0,0,28.630018,108.50076,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
212042,1944,0,0,-33.4962,150.0984,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
212058,408,0,0,-33.485416,150.076872,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2122,1086,0,0,45.326365,130.973375,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
212203,18168,0,0,-34.245297,150.667111,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
212209,10632,0,0,-34.477019,150.534097,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2122322,5160,0,0,-34.285578,150.901237,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
212233,26736,0,0,-34.228931,150.743181,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2128,4242,0,0,37.510809,111.163242,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2130,4188,0,0,33.573434,106.064492,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2132,4922,0,0,29.777166,112.014545,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2133,3012,0,0,33.22567,106.963432,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2137,3438,0,0,25.860693,115.024412,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2139,3576,0,0,24.3712,102.776866,5,Other,2,Cropland,0,0.75,0.25,0,0,0.75,TRUE,Ag-dominated
2140,3552,0,0,36.830163,101.080194,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2141,2784,0,0,24.242784,102.482485,2,Cropland,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
2141500,46776,0,0,35.77262778,-81.4306556,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
214196125,44568,0,0,35.8218972,-81.1903833,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
214264790,49392,0,0,35.4277333,-80.9573417,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
