site_id,total_days,hypoxia_day_count,lat_wgs84,lon_wgs84,percent,Class
KEN00005,5,0,-0.797222222,37.26361111,0,0
KEN00040,3,0,-0.7899,35.34664,0,0
KEN00035,3,0,-0.51478,35.07985,0,0
KEN00034,3,0,-0.47814,35.08298,0,0
KEN00032,3,0,-0.46819,34.54956,0,0
KEN00037,2,0,-0.39506,35.01588,0,0
KEN00031,3,0,-0.37964,34.63544,0,0
KEN00033,3,0,-0.36871,35.29764,0,0
KEN00036,3,0,-0.34796,34.79107,0,0
203013,44,0,-0.302004803,-78.46031086,0,0
ECU00002,44,0,-0.2975,-78.46277778,0,0
ECU00003,38,0,-0.266666667,-78.9,0,0
KEN00024,3,0,-0.25453,35.41504,0,0
KEN00060,2,0,-0.23426,35.54472,0,0
KEN00061,3,0,-0.23398,34.95709,0,0
KEN00023,3,0,-0.20678,35.46189,0,0
